WAVELENGTH	THROUGHPUT
2250.697509765625	2.1617187380042095e-08
2260.0	2.0280130983070752e-08
2260.69970703125	2.0176225236577437e-08
2270.0	1.9195289672543446e-08
2270.701904296875	1.9118675005410608e-08
2280.0	2.3605415875005517e-08
2280.7041015625	2.394999707314632e-08
2290.0	1.659833732501704e-08
2290.706298828125	1.6028702484940688e-08
2300.0	2.4788933079399462e-08
2300.70849609375	2.545943411937813e-08
2310.0	1.6658932679620156e-08
2310.71044921875	1.5975679566210586e-08
2320.0	2.7862788907097617e-08
2320.712890625	2.8785493140997966e-08
2330.0	2.2670036313516476e-08
2330.715087890625	2.219393628860161e-08
2340.0	2.0926187475627957e-08
2340.71728515625	2.0826425428392423e-08
2350.0	2.5930446935155497e-08
2350.719482421875	2.633083577634499e-08
2360.0	2.264620286495452e-08
2360.7216796875	2.235390994779617e-08
2370.0	1.7405515306241958e-08
2370.723876953125	1.7015616376617512e-08
2380.0	2.642780684489167e-08
2380.72607421875	2.7173461503338406e-08
2390.0	2.2389045037680665e-08
2390.728515625	2.2006614141059175e-08
2400.0	2.3891851013007996e-08
2400.730712890625	2.4020891438887864e-08
2410.0	3.092062849229996e-08
2410.73291015625	3.146558954167879e-08
2420.0	3.2471808820407624e-08
2420.735107421875	3.255136749204393e-08
2430.0	2.7468660545197035e-08
2430.737548828125	2.705958428131005e-08
2440.0	2.6723567878486476e-08
2440.73974609375	2.6698532502741933e-08
2450.0	2.984271639646592e-08
2450.7421875	3.0093993796733245e-08
2460.0	2.7444290083214916e-08
2460.744384765625	2.722981841927291e-08
2470.0	2.0513498543806957e-08
2470.74658203125	1.9974951027307124e-08
2480.0	2.6216962724291895e-08
2480.7490234375	2.672091395760142e-08
2490.0	2.8507032019231673e-08
2490.751220703125	2.8649713533218443e-08
2500.0	2.8424184578712986e-08
2500.753662109375	2.8400492736458273e-08
2510.0	3.184771330653607e-08
2510.756103515625	3.2127853610804165e-08
2520.0	2.7801717918233828e-08
2520.75830078125	2.744702019745808e-08
2530.0	2.6053574164630058e-08
