WAVELENGTH	THROUGHPUT
2260.0	1.6673498325979465e-08
2260.099609375	1.666933651683546e-08
2270.0	1.919541721858829e-08
2270.101806640625	1.9221846845653652e-08
2280.0	1.603303016881126e-08
2280.10400390625	1.599852458871564e-08
2290.0	2.7227572919962808e-08
2290.106201171875	2.7350653584192208e-08
2300.0	1.7082944055806296e-08
2300.1083984375	1.6966936989489772e-08
2310.0	1.0127033454122948e-08
2310.110595703125	1.0049389223357375e-08
2320.0	1.848664621886446e-08
2320.11279296875	1.8583990253296418e-08
2330.0	2.2529032703693125e-08
2330.114990234375	2.2575674859477713e-08
2340.0	2.0189371911677035e-08
2340.1171875	2.0160616968242006e-08
2350.0	2.0637258878293414e-08
2350.119384765625	2.0643021396841432e-08
2360.0	2.519002116903562e-08
2360.12158203125	2.524634125400655e-08
2370.0	2.8974297429648708e-08
2370.123779296875	2.9021815878295028e-08
2380.0	2.0341689152487498e-08
2380.126220703125	2.022927170511702e-08
2390.0	1.8794569958920056e-08
2390.12841796875	1.8775395569649732e-08
2400.0	2.471048633795436e-08
2400.130615234375	2.478599759249643e-08
2410.0	1.7634094264968765e-08
2410.1328125	1.753789289016459e-08
2420.0	3.010064594306707e-08
2420.13525390625	3.027268126582849e-08
2430.0	2.3760300480742703e-08
2430.137451171875	2.3668854627771072e-08
2440.0	2.0792808249972884e-08
2440.139892578125	2.0752399539261274e-08
2450.0	2.1296158439893285e-08
2450.14208984375	2.1303960369738316e-08
2460.0	2.3987269441666614e-08
2460.144287109375	2.4026113604346777e-08
2470.0	1.8045128678129543e-08
2470.146728515625	1.795662965055683e-08
2480.0	2.304573843731113e-08
2480.14892578125	2.312245683930764e-08
2490.0	1.6525529140849324e-08
2490.1513671875	1.6424194705811347e-08
2500.0	2.3188545702228622e-08
2500.153564453125	2.3292751620095945e-08
2510.0	2.1673622591713068e-08
2510.156005859375	2.1648116339634308e-08
2520.0	2.0623004941309385e-08
2520.158203125	2.0606322726113643e-08
2530.0	2.5676021819108952e-08
2530.16064453125	2.57585627533786e-08
2540.0	2.7530331395120606e-08
2540.1630859375	2.7559506070338322e-08
2550.0	1.6812876264180216e-08
2550.165283203125	1.663315872452031e-08
2560.0	2.0085559688029346e-08
2560.167724609375	2.0144316646690924e-08
2570.0	2.5534585970305656e-08
2570.169921875	2.5627142888451493e-08
2580.0	2.882356277600607e-08
2580.17236328125	2.8878784020952204e-08
2590.0	2.1133963522214603e-08
2590.1748046875	2.0997528437610843e-08
2600.0	2.246007222745333e-08
2600.177001953125	2.2484315997908814e-08
2610.0	2.3404857779433733e-08
2610.179443359375	2.3421041788641558e-08
2620.0	2.4159541836336604e-08
2620.181884765625	2.4173388058484835e-08
2630.0	1.816994087943995e-08
2630.184326171875	1.8058644997148903e-08
2640.0	2.62024233783919e-08
2640.1865234375	2.6354904041386595e-08
2650.0	2.314962116386894e-08
2650.18896484375	2.30889952405244e-08
2660.0	2.0445075907726606e-08
2660.19140625	2.0394035598683905e-08
2670.0	2.601947351113826e-08
2670.19384765625	2.6128785523442518e-08
2680.0	1.9941692665988656e-08
2680.1962890625	1.981973753422658e-08
2690.0	2.2447837925079084e-08
2690.198486328125	2.2500316402266767e-08
2700.0	1.7318746655435338e-08
2700.200927734375	1.721773401608298e-08
2710.0	1.7419555524948504e-08
2710.20361328125	1.742406855595872e-08
2720.0	1.6503457348389038e-08
2720.205810546875	1.6484123504923685e-08
2730.0	2.2371996476100738e-08
2730.208251953125	2.2496722442780213e-08
2740.0	2.1963690833374674e-08
2740.210693359375	2.195265890486231e-08
2750.0	1.8714385776935427e-08
2750.213134765625	1.8643545268728742e-08
2760.0	1.8908901867458712e-08
2760.215576171875	1.8915111628437818e-08
2770.0	2.0255538336917474e-08
2770.218017578125	2.0285395979452304e-08
2780.0	2.316151892494079e-08
2780.220458984375	2.3225851262217532e-08
2790.0	1.884613212934622e-08
2790.222900390625	1.874681231943184e-08
2800.0	2.5660413071342087e-08
2800.225341796875	2.5822646021735486e-08
2810.0	2.7175402614690906e-08
2810.227783203125	2.7206508234040245e-08
2820.0	3.333465970400407e-08
2820.230224609375	3.348027523263745e-08
2830.0	3.5256888105546314e-08
2830.232666015625	3.5297777014322217e-08
2840.0	3.762715307606648e-08
2840.235107421875	3.768417408670837e-08
2850.0	4.241449258171905e-08
2850.237548828125	4.252997767520068e-08
2860.0	5.666476654306855e-08
2860.239990234375	5.701225554789069e-08
2870.0	5.1450700868063954e-08
2870.242431640625	5.131329270256179e-08
2880.0	5.8648476349955695e-08
2880.244873046875	5.8831906541540506e-08
2890.0	7.666380901087623e-08
2890.247314453125	7.711882588039042e-08
2900.0	8.762536565175553e-08
2900.25	8.790467112761134e-08
2910.0	1.227874363897875e-07
2910.252197265625	1.2369372954247068e-07
2920.0	1.755252956733991e-07
2920.2548828125	1.7689360220197208e-07
2930.0	2.2970857664632304e-07
2930.25732421875	2.3110815922217362e-07
2940.0	3.0146530662814294e-07
2940.259765625	3.0336048611134174e-07
2950.0	3.596375844992305e-07
2950.26220703125	3.61163501598185e-07
2960.0	4.049819280657642e-07
2960.2646484375	4.0617152156580017e-07
2970.0	4.4504870283632066e-07
2970.26708984375	4.4613240568969544e-07
2980.0	5.082148053021951e-07
2980.269775390625	5.099352856103745e-07
